ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Minimum_distance,Closest_snow_lat,Closest_snow_lon,Closest_snow_lat_degrees
226,Le Grand Bornand,0.801836175107361,0.11217475922034999,France,Europe,37,December - April,2100,1000,49,27,8,84,0,233,18,13,2,33,36904,Yes,Yes,Yes,No,0.0014799758577071379,45.875,6.374999999999999,2628.446105316098
227,Sunday River,0.7760205781610277,-1.2360343970023275,United States,North America,85,October - April,957,250,30,40,14,84,4,0,1,13,1,15,29950,Yes,Yes,Yes,No,0.001810954721310443,44.37499999999999,-70.875,2542.5023634529007
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,0.8251395568496638,0.20679829461336108,Austria,Europe,52,November - April,2378,600,28,41,13,82,11,400,22,12,5,39,59933,Yes,Yes,Yes,No,0.0017701253233430964,47.375,11.874999999999998,2714.3898471792945
229,Shigakogen Mountain Resort,0.6408207602557776,2.417152523224722,Japan,Asia,39,December - May,2307,1335,41,30,12,83,0,0,0,54,4,58,83750,Yes,Yes,Yes,No,0.002601191853617367,36.62499999999999,138.375,2098.459697159718
230,Grimentz-?Zinal,0.8059515812129388,0.13219981413056664,Switzerland,Europe,51,December - April,2900,1570,26,28,26,80,0,96,13,5,3,21,19345,Yes,Yes,No,No,0.0012734763895896081,46.12499999999999,7.625,2642.770062293297
231,Kimberley,0.8671676352960221,-2.0242651504157942,Canada,North America,49,December - April,1982,1230,15,35,30,80,6,11,2,3,0,5,5452,Yes,Yes,Yes,No,0.002141022133592233,49.625,-115.875,2843.3054599740894
232,Civetta-Alleghe-?Selva di Cadore-?Palafavera-?Zoldo,0.8091010932557221,0.21044265001620777,Italy,Europe,43,December - April,2100,1000,30,44,6,80,0,100,10,10,3,23,33289,Yes,Yes,Yes,No,0.001214627106494307,46.37499999999999,12.125,2657.0940192704966
233,Ax les Thermes,0.7455928513329054,0.032078714403527775,France,Europe,37,December - April,1400,720,40,25,15,80,0,0,11,6,2,19,21320,Yes,Yes,No,No,0.0017691195886089196,42.62499999999999,1.8749999999999998,2442.2346646125047
234,Mzaar Kfardebian,0.5929249971581888,0.6255179113049666,Lebanon,Asia,51,Unknown,2465,1850,46,30,4,80,0,0,0,0,0,0,0,Yes,No,No,No,0.0027388408867804574,34.12499999999999,35.875,1955.2201273877238
235,Yellowstone Club,0.7970597522858666,-1.9384909871063332,United States,North America,0,November - April,3005,2182,30,30,20,80,4,0,4,11,0,15,14886,Yes,No,No,No,0.0012559770482376963,45.625,-111.12499999999999,2614.1221483388986
236,Damu?ls Mellau,0.825785065455611,0.1726862398907887,Austria,Europe,49,December - April,2050,690,37,39,1,77,7,130,10,13,2,25,37160,Yes,Yes,No,No,0.0011154986529543908,47.375,9.874999999999998,2714.3898471792945
237,Mont Tremblant,0.8048732636066666,-1.3018250250040777,Canada,North America,60,November - April,875,230,16,25,37,78,6,1041,3,8,3,14,24700,Yes,Yes,No,No,0.0006457541862548152,46.12499999999999,-74.625,2642.770062293297
238,Smugglers' Notch,0.7164822413482667,-1.4891821082647887,United States,North America,65,November - April,1112,314,13,41,24,78,4,0,3,6,0,9,7053,Yes,Yes,No,No,0.0015629783324200644,41.125,-85.37499999999999,2356.2909227493087
239,Rosa Khutor,0.7622015841976221,0.7033160697868611,Russia,Europe,22,December - April,2320,940,30,26,21,77,7,450,6,11,10,27,49228,Yes,Yes,No,No,0.0015790525779610903,43.625,40.37499999999999,2499.530492521303
240,Zell am See,0.8259582822562443,0.2233376664068611,Austria,Europe,50,December - April,2000,760,30,28,19,77,6,450,9,10,8,27,48407,Yes,Yes,Yes,No,0.001636872504964436,47.375,12.874999999999998,2714.3898471792945
241,Cerler,0.7433829295179777,0.009397230472994443,Spain,Europe,42,December - April,2621,1505,35,27,14,76,0,0,10,9,0,19,20670,Yes,Yes,No,No,0.0016125557927851432,42.62499999999999,0.625,2442.2346646125047
242,Jay Peak,0.8313235542353721,-2.108871415425461,United States,North America,70,Unknown,1175,563,15,31,30,76,0,0,2,6,1,9,11675,Yes,No,No,No,0.0008012894486595968,47.625,-120.87499999999999,2728.713804156494
243,Three Peaks Dolomites-Helm-?Stiergarten-?Rotwand-?Kreuzbergpass,0.8156099615906666,0.2151630834207222,Italy,Europe,51,November - April,2200,1130,17,39,18,74,4,250,20,4,6,30,21535,Yes,Yes,No,No,0.002024893387517325,46.62499999999999,12.374999999999998,2671.417976247696
244,Puy St. Vincent,0.7823947386074277,0.11331762777448331,France,Europe,34,December - April,2677,1407,28,34,13,75,0,95,4,8,0,12,17155,Yes,Yes,Yes,No,0.0022110953854909935,44.87499999999999,6.374999999999999,2571.1502774072997
245,Angel Fire,0.6351786723097832,-1.8375685096581609,United States,North America,62,December - March,3256,2591,40,28,7,75,4,0,2,5,0,7,7200,Yes,Yes,Yes,No,0.0016020487368898363,36.37499999999999,-105.37499999999999,2084.1357401825185
246,Folgaria-?Fiorentini,0.8013667726921833,0.19500573441027774,Italy,Europe,40,December - April,1850,1200,36,32,5,73,3,280,13,17,0,30,35900,Yes,Yes,No,No,0.0010904118755975672,45.875,11.125,2628.446105316098
247,Titlis-Engelberg,0.8172126838717055,0.14661900074769804,Switzerland,Europe,57,October - May,3020,1000,34,26,12,72,12,180,7,6,7,20,23316,Yes,Yes,No,No,0.0010139527202381923,46.87499999999999,8.374999999999998,2685.7419332248955
248,Trysil,1.0708658804558222,0.21584513936486885,Norway,Europe,46,October - May,1100,415,33,18,20,71,5,418,29,7,0,36,36182,Yes,Yes,Yes,No,0.00035726539096947045,61.37499999999999,12.374999999999998,3516.531437902463
249,Nauders am Reschenpass-Bergkastel,0.8180528994992138,0.18387036464102388,Austria,Europe,42,December - April,2850,1400,24,34,13,71,9,92,11,5,1,17,17651,Yes,Yes,No,No,0.001572248433084654,46.87499999999999,10.625,2685.7419332248955
250,Bridger Bowl-Bozeman,0.7976720987913721,-1.9377592898513998,United States,North America,49,December - April,2682,1860,20,26,25,71,5,0,1,8,0,9,11900,Yes,Yes,No,No,0.002209338758248976,45.625,-111.12499999999999,2614.1221483388986
251,Brian Head,0.6578621249700499,-1.9696159514377443,United States,North America,59,November - April,3328,2926,22,24,25,71,0,0,3,8,0,11,13200,Yes,No,Yes,No,0.001255851167487116,37.625,-112.875,2155.7555250685164
252,Grossarltal-?Dorfgastein,0.8244645618035749,0.23002366945423444,Austria,Europe,50,December - April,2033,850,25,43,1,69,8,0,7,8,5,20,29710,Yes,Yes,No,No,0.0021948100860959383,47.12499999999999,13.125,2700.0658902020946
253,Thredbo,-0.6371279800356056,2.5884207369526053,Australia,Oceania,84,June - September,2037,1365,7,60,3,70,5,177,7,7,0,14,17050,Yes,Yes,No,Yes,0.002567637903092846,-36.37499999999999,148.37499999999997,-2084.1357401825185
254,Stowe,0.7760673895973554,-1.2685996895916942,United States,North America,106,November - April,1116,390,20,42,8,70,6,400,3,8,2,13,20300,Yes,Yes,Yes,No,0.0018985594916250982,44.37499999999999,-72.62499999999999,2542.5023634529007
255,Katschberg,0.8213392146965388,0.23763602860705554,Austria,Europe,46,November - April,2220,1066,10,50,10,70,6,750,9,6,2,17,26458,Yes,Yes,Yes,No,0.001158295888328929,47.12499999999999,13.625,2700.0658902020946
256,Valfre?jus,0.7882293641325554,0.11619113935480416,France,Europe,29,December - April,2737,1550,40,20,10,70,0,80,5,4,1,10,15800,Yes,Yes,No,No,0.0008601923135272346,45.125,6.625,2585.4742343844996
257,Savognin,0.8132696341201666,0.1675191658854833,Switzerland,Europe,50,December - April,2713,1200,32,38,0,70,11,100,10,2,1,13,14000,Yes,Yes,Yes,No,0.0006776211079513701,46.62499999999999,9.625,2671.417976247696
258,Scuol-Motta Naluns,0.8170083356594999,0.17929091130948888,Switzerland,Europe,50,December - April,2785,1250,27,32,11,70,10,136,6,6,1,13,18000,Yes,Yes,No,No,0.0021056940409473488,46.87499999999999,10.374999999999998,2685.7419332248955
259,Okemo,0.7577810136387472,-1.2688233540445477,United States,North America,86,November - April,1019,348,22,26,22,70,0,0,7,13,0,20,29050,Yes,Yes,Yes,No,0.0014802506379282161,43.375,-72.62499999999999,2485.2065355441036
260,Mont-Sainte-Anne-Beaupre?,0.8218350902434499,-1.2378923623007687,Canada,North America,52,November - April,800,175,15,33,21,69,4,0,4,4,1,9,13200,Yes,Yes,Yes,No,0.0011035072587639008,47.12499999999999,-70.875,2700.0658902020946
261,49 Degrees North Mountain Resort,0.843004120245611,-2.0518595383093885,United States,North America,50,November - April,1760,1195,20,27,21,68,0,0,1,6,0,7,8250,Yes,No,No,No,0.001690145109166401,48.37499999999999,-117.62499999999999,2771.685675088092
262,Passo San Pellegrino-?Falcade,0.8092606816644027,0.20599003436666888,Italy,Europe,47,November - April,2513,1190,20,38,8,66,0,0,6,9,2,17,24030,Yes,Yes,No,No,0.0012748155103105424,46.37499999999999,11.874999999999998,2657.0940192704966
263,Bear Valley,0.6556991158204611,-2.0964763628375054,United States,North America,67,December - April,2590,2011,17,27,23,67,0,0,2,8,0,10,11800,Yes,No,No,No,0.004375942998254017,37.625,-119.87499999999999,2155.7555250685164
264,Apex Resort,0.8620181434260443,-2.0927307148936163,Canada,North America,52,December - April,2180,1575,8,33,26,67,5,8,2,2,0,4,4720,Yes,Yes,Yes,No,0.000581668297752029,49.375,-119.87499999999999,2828.98150299689
265,Brighton,0.6978469892021666,-1.829296849795694,United States,North America,67,November - April,3200,2668,10,18,38,66,0,0,1,6,0,7,13200,Yes,Yes,Yes,No,0.0022012134440749787,39.875,-104.875,2284.6711378633113
266,Piau Engaly,0.7466548440158083,0.0027683255969784995,France,Europe,37,November - April,2560,1420,35,22,8,65,0,40,5,5,0,10,13615,Yes,Yes,No,No,0.001755377708541017,42.87499999999999,0.12499999999999999,2456.558621589704
267,Flumserberg,0.8217500631101,0.16190690094863922,Switzerland,Europe,51,November - April,665,425,10,38,17,65,6,0,9,8,4,21,30867,Yes,Yes,Yes,No,0.001868491115004602,47.12499999999999,9.374999999999998,2700.0658902020946
268,Super Sauze,0.7741893121887998,0.11668555013537776,France,Europe,30,December - April,2450,1400,35,20,10,65,0,100,18,4,0,22,17948,Yes,Yes,No,No,0.001099281248523225,44.37499999999999,6.625,2542.5023634529007
269,Bukovel,0.8439320063053888,0.4260839033316666,Ukraine,Europe,32,November - May,1372,890,26,28,11,65,2,0,3,15,0,18,33839,Yes,Yes,Yes,No,0.0007570116524022053,48.37499999999999,24.375,2771.685675088092
270,La Norma,0.7884912069324166,0.11727755310030553,France,Europe,29,December - April,2750,1350,17,43,5,65,0,126,7,5,1,13,13290,Yes,Yes,No,No,0.001884932385486374,45.125,6.625,2585.4742343844996
271,Mt. Hood Skibowl,0.7906652291002833,-2.125351706128355,United States,North America,45,November - April,1510,1120,15,15,35,65,3,0,5,4,0,9,6500,Yes,Yes,Yes,No,0.0021799016897467486,45.375,-121.87499999999999,2599.798191361699
272,Kirkwood,0.6733487010853721,-1.577897047650794,United States,North America,85,November - April,2987,2377,15,30,20,65,0,0,4,11,0,15,21420,Yes,Yes,No,No,0.000961884271059563,38.62499999999999,-90.37499999999999,2213.051352977314
273,Red Lodge Mountain,0.7887267668412722,-1.9082868193132665,United States,North America,45,November - April,2870,2138,11,30,24,65,0,0,1,6,0,7,10200,Yes,No,No,No,0.001326578056761708,45.125,-109.37499999999999,2585.4742343844996
274,Solitude,0.7089564403303221,-1.9476445087350778,United States,North America,71,November - April,3000,2434,20,30,14,64,0,0,0,8,0,8,16400,Yes,No,No,No,0.000583551618960121,40.62499999999999,-111.62499999999999,2327.6430087949093
275,Pal-?Arinsal-La Massana-Vallnord-,0.7427179657432915,0.02528612380479344,Andorra,Europe,37,December - April,1550,1230,31,24,8,63,7,296,15,12,4,31,37400,Yes,Yes,No,No,0.0017794897883054589,42.62499999999999,1.3749999999999998,2442.2346646125047
276,Arabba,0.8115281338462055,0.20724179461898887,Italy,Europe,49,December - April,2478,1602,32,22,8,62,4,620,3,16,4,23,43973,Yes,Yes,No,No,0.0021324360233205895,46.37499999999999,11.874999999999998,2657.0940192704966
277,Wildkogel-Neukirchen-?Bramberg,0.8250921441479167,0.21463589582081388,Austria,Europe,44,December - April,2150,820,28,25,9,62,14,335,15,4,5,24,27388,Yes,Yes,Yes,No,0.002214699083575635,47.375,12.374999999999998,2714.3898471792945
278,Alyeska Resort-Girdwood,1.063984739814525,-2.6019498284814664,United States,North America,68,November - April,840,70,14,31,17,62,4,0,2,6,1,9,11200,Yes,No,Yes,No,0.0017008454059909794,60.875,-149.125,3487.8835239480645
279,Hintertux Glacier,0.8213735400579443,0.20359311359577778,Austria,Europe,52,Year-round,3250,1500,14,35,11,60,7,260,10,6,6,22,38852,Yes,Yes,No,Yes,0.0013134681036794276,47.12499999999999,11.625,2700.0658902020946
280,Disentis 3000,0.8151409361662888,0.15454839947674998,Switzerland,Europe,49,December - April,2833,1227,20,30,10,60,10,4,9,3,1,13,10990,Yes,Yes,No,No,0.0014253579612921675,46.62499999999999,8.874999999999998,2671.417976247696
281,Belalp-Blatten,0.8092191699158721,0.13927174440522777,Switzerland,Europe,49,December - April,3118,1322,20,20,20,60,0,0,8,3,2,13,13640,Yes,Yes,No,No,0.0018356951526470422,46.37499999999999,7.874999999999999,2657.0940192704966
282,San Martino di Castrozza,0.8074294305274611,0.20599803564733332,Italy,Europe,44,November - April,2357,1404,16,32,12,60,3,150,7,14,3,24,29859,Yes,Yes,Yes,No,0.0023351932206813943,46.37499999999999,11.874999999999998,2657.0940192704966
283,Meiringen-Hasliberg,0.8158865873168055,0.1434567310220837,Switzerland,Europe,50,December - April,1055,600,20,34,6,60,8,75,6,4,5,15,16381,Yes,No,Yes,No,0.002691654886726196,46.62499999999999,8.125,2671.417976247696
284,Toggenburg-Wildhaus-?Unterwasser-?Alt St. Johann,0.8234622087161666,0.1626679037579433,Switzerland,Europe,52,December - April,2262,900,10,45,5,60,7,55,18,3,4,25,19956,Yes,Yes,Yes,No,0.0013669586488957242,47.12499999999999,9.374999999999998,2700.0658902020946
285,Alpe di Siusi-Seiser Alm-,0.8126927439484667,0.20253789156292332,Italy,Europe,54,December - April,1669,1000,14,45,1,60,2,70,9,15,3,27,35624,Yes,Yes,No,No,0.001124335564395261,46.62499999999999,11.625,2671.417976247696
286,Le Lioran,0.7869892441693165,0.04800312519051111,France,Europe,31,December - April,1850,1160,30,20,10,60,0,241,13,8,1,22,25195,Yes,Yes,Yes,No,0.0022536272964965923,45.125,2.8749999999999996,2585.4742343844996
287,Saint Luc-?Chandolin-Anniviers-,0.8069791062902222,0.13312716690544193,Switzerland,Europe,47,December - April,3025,1655,20,30,10,60,0,104,11,3,1,15,10350,Yes,Yes,No,No,0.0019472104094868654,46.12499999999999,7.625,2642.770062293297
288,Les Karellis,0.7893868166455998,0.11181381147328331,France,Europe,27,December - April,2520,1600,26,25,9,60,0,98,10,6,0,16,17452,Yes,Yes,No,No,0.0018892343562239757,45.125,6.374999999999999,2585.4742343844996
289,Peyragudes,0.7466642015906888,0.00796066880691611,France,Europe,40,December - April,2400,1600,30,26,4,60,0,230,8,9,0,17,22791,Yes,Yes,No,No,0.0021703630265845182,42.87499999999999,0.37499999999999994,2456.558621589704
290,Leysin,0.8088524381525498,0.12243195632265,Switzerland,Europe,45,December - April,2205,1250,43,15,2,60,0,72,8,7,1,16,12980,Yes,Yes,No,No,0.001997941451025937,46.37499999999999,7.125,2657.0940192704966
291,Gudauri,0.7413551605819055,0.7762699348859665,Georgia,Asia,14,December - April,3279,1990,22,28,10,60,0,29,7,6,1,14,15400,Yes,Yes,Yes,No,0.0025125326508368263,42.37499999999999,44.37499999999999,2427.9107076353052
292,Mount Snow,0.7497748102773054,-1.2727577881600443,United States,North America,81,November - April,1095,585,6,46,8,60,0,254,6,14,0,20,27000,Yes,Yes,No,No,0.001694271040645074,42.87499999999999,-72.875,2456.558621589704
293,Mount Washington,0.8683499308046555,-2.186832720166711,Canada,North America,64,December - April,1588,1083,12,21,27,60,3,0,5,5,0,10,11620,Yes,Yes,Yes,No,0.002535552953231904,49.875,-125.37499999999999,2857.629416951289
294,Ponte di Legno-Passo ?Tonale-?Presena Glacier-?Temu?-Pontedilegno-Tonale-,0.8073642477709444,0.18341059695877773,Italy,Europe,42,October - May,3016,1121,10,40,9,59,11,0,7,19,4,30,49825,Yes,Yes,Yes,No,0.002872259779010042,46.37499999999999,10.625,2657.0940192704966
295,Gore Mountain,0.7020335732651777,-1.8615236884223942,United States,North America,71,November - April,1097,304,6,28,23,57,4,0,5,9,1,15,21000,Yes,Yes,No,No,0.0018121045635270325,40.12499999999999,-106.625,2298.9950948405103
296,Eggli-?La Videmanette-Gstaad-?Saanen-?Rougemont,0.8253965380389999,0.16010527179399445,Switzerland,Europe,54,December - March,2151,992,35,17,5,57,0,0,8,4,5,17,15363,Yes,No,No,No,0.0016799618461391269,47.375,9.125,2714.3898471792945
297,Anze?re,0.8080356422058276,0.12913590866995556,Switzerland,Europe,46,December - April,2420,1500,12,37,9,58,0,120,10,3,1,14,12462,Yes,Yes,No,No,0.0014228926915335932,46.37499999999999,7.374999999999999,2657.0940192704966
298,Borovets,0.7376947265214389,0.4120270752973111,Bulgaria,Europe,28,December - April,2560,1300,24,29,5,58,12,160,8,4,2,14,15800,Yes,Yes,Yes,No,0.0019126553194607175,42.37499999999999,23.624999999999996,2427.9107076353052
299,Font-Romeu-?Bolque?re Pyre?ne?es 2000,0.7418410668165499,0.036154747659766666,France,Europe,38,December - April,2213,1650,30,19,9,58,0,535,15,8,1,24,27378,Yes,Yes,No,No,0.002302598385727363,42.62499999999999,2.125,2442.2346646125047
300,Oppdal,1.0914438403707527,0.16795819994639333,Norway,Europe,44,Unknown,1300,585,40,7,9,56,0,0,1,0,0,1,0,Yes,No,No,No,0.001567959857174284,62.625,9.625,3588.151222788461
301,Bre?vent-?Fle?ge?re-Chamonix-,0.8019421322114221,0.11987949433130236,France,Europe,51,December - April,2525,1030,11,25,20,56,6,0,6,8,5,19,26734,Yes,Yes,No,No,0.0012779131944457953,45.875,6.874999999999999,2628.446105316098
302,Bretton Woods,0.7724407293747165,-1.246884864177522,United States,North America,76,November - April,945,487,25,16,15,56,0,0,3,7,0,10,15406,Yes,Yes,Yes,No,0.0023527140311233137,44.37499999999999,-71.375,2542.5023634529007
303,Les Houches-?Saint-Gervais-Prarion-?Bellevue-Chamonix-,0.8009572367651111,0.11866724416344443,France,Europe,43,December - April,1000,584,25,25,5,55,4,133,5,8,3,16,19859,Yes,Yes,No,No,0.001355026122288619,45.875,6.874999999999999,2628.446105316098
304,Ylla?s,1.1792256376423775,0.4227991126781555,Finland,Europe,42,November - May,718,200,21,28,6,55,3,36,27,1,1,29,28284,Yes,Yes,Yes,No,0.002032401114387107,67.62499999999999,24.125,3874.630362332449
305,Belvedere-?Col Rodella-?Ciampac-?Buffaure-Canazei-?Campitello-?Alba-?Pozza di Fassa,0.7973542239885333,0.20547674812797775,Italy,Europe,48,December - April,2428,1320,7,40,7,54,6,0,11,18,10,39,56216,Yes,Yes,Yes,No,0.002066613497608251,45.625,11.874999999999998,2614.1221483388986
306,Revelstoke Mountain Resort,0.8895807017769555,-2.0613928258092997,Canada,North America,64,December - April,2225,512,16,18,21,55,15,0,2,2,7,11,9200,Yes,Yes,No,No,0.0016681210510547215,50.87499999999999,-118.125,2914.9252448600864
307,Lauchernalp-Lo?tschental,0.810054559712075,0.13569793141615744,Switzerland,Europe,48,April,3111,1419,20,17,18,55,10,28,2,2,2,6,6800,Yes,Yes,No,No,0.0018667461610199618,46.37499999999999,7.874999999999999,2657.0940192704966
308,Grossglockner Heiligenblut,0.8216051345820888,0.22154985909629998,Austria,Europe,44,December - April,2989,1301,20,34,1,55,7,60,8,1,4,13,12500,Yes,No,No,No,0.0014902256494499745,47.12499999999999,12.625,2700.0658902020946
309,Brandnertal-Brand-?Bu?rserberg,0.822384067388,0.17030692733042221,Austria,Europe,46,December - April,2000,904,22,30,3,55,5,82,6,6,3,15,18963,Yes,Yes,Yes,No,0.0020467163980916695,47.12499999999999,9.874999999999998,2700.0658902020946
310,Alpe du Grand-Serre-La Morte,0.7858760287341278,0.10224473253663333,France,Europe,27,December - March,2184,1367,36,17,2,55,0,0,12,3,0,15,13486,Yes,Yes,No,No,0.0017281970492059912,45.125,5.874999999999999,2585.4742343844996
311,Les Angles,0.7519496230786555,0.00010843546950555556,France,Europe,38,November - April,2376,1600,22,23,10,55,0,363,15,4,1,20,21787,Yes,Yes,Yes,No,0.0041893104625192,42.87499999999999,0.12499999999999999,2456.558621589704
312,Kopaonik,0.7551856754539721,0.36349489587883327,Serbia,Europe,30,December - April,2017,1057,30,19,6,55,0,315,14,13,0,27,35052,Yes,Yes,Yes,No,0.002032941224257891,43.375,20.874999999999996,2485.2065355441036
313,Aussois,0.7893688450054721,0.11765950586717776,France,Europe,29,December - April,2750,1500,30,22,3,55,0,130,4,4,0,8,9228,Yes,Yes,No,No,0.002707421389340999,45.125,6.625,2585.4742343844996
314,Apache,0.6146107541382222,-1.9107615963637996,United States,North America,48,Unknown,3475,2926,12,18,25,55,0,0,2,8,1,11,15800,Yes,No,No,No,0.002391854823165224,35.125,-109.37499999999999,2012.515955296522
315,Erciyes-Kayseri,0.6725226095229055,0.6187226207190666,Turkey,Asia,17,December - April,3360,2100,18,29,7,54,0,82,4,11,2,17,23800,Yes,No,No,No,0.0020776537200206027,38.62499999999999,35.375,2213.051352977314
316,Hunter Mountain,0.7361420148625443,-1.2955641677463554,United States,North America,68,Unknown,975,487,18,18,19,55,0,0,4,9,0,13,15910,Yes,No,No,No,0.002058343777419589,42.12499999999999,-74.125,2413.5867506581058
317,First-Grindelwald,0.8142038120865832,0.14076196423652004,Switzerland,Europe,55,December - March,2501,1050,30,15,8,53,6,38,3,3,3,9,12720,Yes,Yes,No,No,0.0011365446284918024,46.62499999999999,8.125,2671.417976247696
318,So?renberg-Rothorn-?Dorf,0.8172002641192387,0.14023588441360554,Switzerland,Europe,44,December - April,2350,1110,30,15,8,53,0,0,12,3,2,17,20930,Yes,Yes,Yes,No,0.0018224991454325657,46.87499999999999,8.125,2685.7419332248955
319,Riserva Bianca-Limone Piemonte,0.7711788469194165,0.13232483347772403,Italy,Europe,34,December - April,2060,1046,11,35,5,51,0,0,5,11,1,17,20655,Yes,No,No,No,0.0012964916844906756,44.12499999999999,7.625,2528.1784064757016
320,Eldora Mountain,0.6525128873172166,-2.130567077140633,United States,North America,80,November - April,3292,2804,11,26,15,52,0,0,3,8,0,11,13020,Yes,Yes,Yes,No,0.0009353724251943943,37.375,-122.12499999999999,2141.431568091317
321,Donner Ski Ranch,0.6862433362964389,-2.100171537647389,United States,North America,59,December - April,2371,2142,13,26,13,52,2,0,0,6,0,6,6500,Yes,No,No,No,0.001243912098156088,39.375,-120.375,2256.0232239089123
322,Las Len?as,-0.6134042980571611,-1.2231616935801166,Argentina,South America,44,June - September,3430,2200,5,12,35,52,0,0,7,7,0,14,13340,Yes,Yes,Yes,Yes,0.0008304939319317438,-35.125,-70.125,-2012.515955296522
323,Happo-One-Hakuba,0.6405974403306277,2.405456423797261,Japan,Asia,40,December - May,1831,760,16,26,10,52,0,0,0,21,1,22,29100,Yes,Yes,Yes,No,0.0016479934275123115,36.62499999999999,137.87499999999997,2098.459697159718
324,Gitschberg Jochtal,0.8172788588470637,0.2035841199217389,Italy,Europe,46,December - April,1354,772,17,25,9,51,6,90,14,4,6,24,23617,Yes,Yes,No,No,0.0010896473943781,46.87499999999999,11.625,2685.7419332248955
325,Schilthorn-Mu?rren-?Lauterbrunnen,0.8125800071186527,0.13774881643324882,Switzerland,Europe,55,December - April,2970,796,19,23,9,51,15,38,3,7,6,16,13852,Yes,Yes,No,No,0.001217692407758348,46.62499999999999,7.874999999999999,2671.417976247696
326,Dachstein West,0.8292910694236444,0.23474431020368886,Austria,Europe,42,December - April,1620,780,15,33,3,51,4,163,25,8,3,36,32938,Yes,Yes,Yes,No,0.0023235429904658756,47.625,13.374999999999998,2728.713804156494
327,Cypress Mountain,0.8621514341084333,-2.150263794007983,Canada,North America,44,November - April,1440,824,6,22,22,50,4,42,1,6,0,7,10300,Yes,Yes,Yes,No,0.0013866676858101713,49.375,-123.12499999999999,2828.98150299689
328,Pila,0.7988355482506609,0.1410413374751,Italy,Europe,42,November - April,1540,570,8,35,6,49,0,480,5,8,4,17,22154,Yes,Yes,No,No,0.001987352171333422,45.875,8.125,2628.446105316098
329,Brigels-?Waltensburg-?Andiast,0.8162906690945722,0.15825557166977777,Switzerland,Europe,49,December - March,2418,1110,13,33,3,49,7,100,9,4,0,13,10030,Yes,Yes,Yes,No,0.002089600482559124,46.87499999999999,9.125,2685.7419332248955
330,Aprica,0.805515840934611,0.17717967207244442,Italy,Europe,38,November - May,2270,1162,28,14,7,49,0,0,10,4,2,16,13965,Yes,Yes,No,No,0.0006709113860946426,46.12499999999999,10.125,2642.770062293297
331,Bormio-Cima Bianca,0.810525985834811,0.18138237074682778,Italy,Europe,40,November - April,3012,1225,14,34,2,50,8,240,8,5,2,15,17630,Yes,Yes,Yes,No,0.001170558376682608,46.37499999999999,10.374999999999998,2657.0940192704966
332,Sedrun-Oberalp,0.8144607365527666,0.1519291333542867,Switzerland,Europe,53,November - April,2300,1500,10,35,5,50,3,0,7,5,0,12,12100,Yes,Yes,No,No,0.0015611761813366979,46.62499999999999,8.625,2671.417976247696
333,Grosseck-?Speiereck-Mauterndorf-?St. Michael,0.8224291736390887,0.2381337295922894,Austria,Europe,41,December - April,2400,1095,26,17,7,50,8,150,6,4,2,12,14286,Yes,No,Yes,No,0.00033758854070773536,47.12499999999999,13.625,2700.0658902020946
334,Hirmentaz-?Les Habe?res-Bellevaux-?Habe?re-Poche,0.8072340899519166,0.11375709034826932,France,Europe,24,December - March,1610,923,30,17,3,50,0,0,27,6,0,33,29480,Yes,Yes,No,No,0.0028588419313503757,46.37499999999999,6.625,2657.0940192704966
335,Pragelato,0.7856805415510499,0.12116856241349443,Italy,Europe,0,December - April,2700,1335,14,32,4,50,0,0,4,1,0,5,3660,Yes,No,No,No,0.002233995013931891,45.125,6.874999999999999,2585.4742343844996
336,Porte? Puymorens,0.7426175579088999,0.03199992158099999,France,Europe,30,September - April,2471,1600,21,20,9,50,0,70,5,4,0,9,7380,Yes,Yes,No,No,0.0015133584519983875,42.62499999999999,1.8749999999999998,2442.2346646125047
337,Mythenregion,0.8206829330548832,0.15225435300255954,Switzerland,Europe,39,December - March,1070,573,18,31,1,50,0,55,11,0,4,15,12592,Yes,Yes,No,No,0.0024915550231712612,47.12499999999999,8.625,2700.0658902020946
338,Candanchu?,0.7468063594108526,-0.009228149226530554,Spain,Europe,41,December - April,2236,1514,15,18,15,48,0,0,19,6,0,25,19650,Yes,No,No,No,0.0022542596225948812,42.87499999999999,-0.625,2456.558621589704
339,Zugspitze,0.8276556379547221,0.19174689329016664,Germany,Europe,45,May,2000,700,7,13,0,20,2,0,4,2,4,10,13150,Yes,No,No,No,0.0021033081430174012,47.375,10.874999999999998,2714.3898471792945
340,Zao Onsen,0.6661554251516333,2.450446207418211,Japan,Asia,39,December - May,1661,780,20,20,10,50,0,0,0,38,4,42,50000,Yes,Yes,No,No,0.0008700457153721934,38.12499999999999,140.37499999999997,2184.403439022915
341,Lindvallen-?Ho?gfja?llet-Sa?len-,1.0674373201719445,0.23027172276838886,Sweden,Europe,41,November - May,887,579,22,17,3,42,5,0,49,4,0,53,50505,Yes,Yes,Yes,No,0.0013419325675376255,61.12499999999999,13.125,3502.2074809252636
